"phase" "subject" "activityName" "variable" "mean"
"TEST" 2 "LAYING" "fBodyAccJerk-mean()-X" -0.985813630833333
"TEST" 2 "LAYING" "fBodyAccJerk-mean()-Y" -0.982768250416667
"TEST" 2 "LAYING" "fBodyAccJerk-mean()-Z" -0.986197134583333
"TEST" 2 "LAYING" "fBodyAccJerk-std()-X" -0.987250255833333
"TEST" 2 "LAYING" "fBodyAccJerk-std()-Y" -0.984987392916667
"TEST" 2 "LAYING" "fBodyAccJerk-std()-Z" -0.989345368541667
"TEST" 2 "LAYING" "fBodyAccJerk-meanFreq()-X" 0.159808328563875
"TEST" 2 "LAYING" "fBodyAccJerk-meanFreq()-Y" 0.1212064240125
"TEST" 2 "LAYING" "fBodyAccJerk-meanFreq()-Z" 0.190558218145833
"TEST" 2 "LAYING" "fBodyGyro-mean()-X" -0.9864311425
"TEST" 2 "LAYING" "fBodyGyro-mean()-Y" -0.983321635416667
"TEST" 2 "LAYING" "fBodyGyro-mean()-Z" -0.9626718875
"TEST" 2 "LAYING" "fBodyGyro-std()-X" -0.988860685833333
"TEST" 2 "LAYING" "fBodyGyro-std()-Y" -0.981910616458333
"TEST" 2 "LAYING" "fBodyGyro-std()-Z" -0.963174222291667
"TEST" 2 "LAYING" "fBodyGyro-meanFreq()-X" 0.10261131938125
"TEST" 2 "LAYING" "fBodyGyro-meanFreq()-Y" 0.04228066839375
"TEST" 2 "LAYING" "fBodyGyro-meanFreq()-Z" 0.0552985986479167
"TEST" 2 "LAYING" "fBodyAccMag-mean()" -0.975110196458333
"TEST" 2 "LAYING" "fBodyAccMag-std()" -0.975121387916667
"TEST" 2 "LAYING" "fBodyAccMag-meanFreq()" 0.2662982125
"TEST" 2 "LAYING" "fBodyBodyAccJerkMag-mean()" -0.985374114791667
"TEST" 2 "LAYING" "fBodyBodyAccJerkMag-std()" -0.984568489166667
"TEST" 2 "LAYING" "fBodyBodyAccJerkMag-meanFreq()" 0.3417585745
"TEST" 2 "LAYING" "fBodyBodyGyroMag-mean()" -0.972112972708333
"TEST" 2 "LAYING" "fBodyBodyGyroMag-std()" -0.96109837875
"TEST" 2 "LAYING" "fBodyBodyGyroMag-meanFreq()" 0.01856447223125
"TEST" 2 "LAYING" "fBodyBodyGyroJerkMag-mean()" -0.990248702291667
"TEST" 2 "LAYING" "fBodyBodyGyroJerkMag-std()" -0.989492660416667
"TEST" 2 "LAYING" "fBodyBodyGyroJerkMag-meanFreq()" 0.264801505395833
"TEST" 2 "SITTING" "tBodyAcc-mean()-X" 0.27708735173913
"TEST" 2 "SITTING" "tBodyAcc-mean()-Y" -0.0156879937282609
"TEST" 2 "SITTING" "tBodyAcc-mean()-Z" -0.109218272456522
"TEST" 2 "SITTING" "tBodyAcc-std()-X" -0.986822279565217
"TEST" 2 "SITTING" "tBodyAcc-std()-Y" -0.950704499130435
"TEST" 2 "SITTING" "tBodyAcc-std()-Z" -0.95982817173913
"TEST" 2 "SITTING" "tGravityAcc-mean()-X" 0.940477273043478
"TEST" 2 "SITTING" "tGravityAcc-mean()-Y" -0.105630024498783
"TEST" 2 "SITTING" "tGravityAcc-mean()-Z" 0.19872676876087
"TEST" 2 "SITTING" "tGravityAcc-std()-X" -0.979988760869565
"TEST" 2 "SITTING" "tGravityAcc-std()-Y" -0.956750273043478
"TEST" 2 "SITTING" "tGravityAcc-std()-Z" -0.954415873043478
"TEST" 2 "SITTING" "tBodyAccJerk-mean()-X" 0.0722564387173913
"TEST" 2 "SITTING" "tBodyAccJerk-mean()-Y" 0.0116954511323913
"TEST" 2 "SITTING" "tBodyAccJerk-mean()-Z" 0.00760546929869565
"TEST" 2 "SITTING" "tBodyAccJerk-std()-X" -0.988055854130435
"TEST" 2 "SITTING" "tBodyAccJerk-std()-Y" -0.977983955434783
"TEST" 2 "SITTING" "tBodyAccJerk-std()-Z" -0.98751821173913
"TEST" 2 "SITTING" "tBodyGyro-mean()-X" -0.0454706620434783
"TEST" 2 "SITTING" "tBodyGyro-mean()-Y" -0.0599286797043478
"TEST" 2 "SITTING" "tBodyGyro-mean()-Z" 0.0412277462173913
"TEST" 2 "SITTING" "tBodyGyro-std()-X" -0.985742027826087
"TEST" 2 "SITTING" "tBodyGyro-std()-Y" -0.978919526956522
"TEST" 2 "SITTING" "tBodyGyro-std()-Z" -0.959803708695652
"TEST" 2 "SITTING" "tBodyGyroJerk-mean()-X" -0.0936328412826087
"TEST" 2 "SITTING" "tBodyGyroJerk-mean()-Y" -0.0415602029130435
"TEST" 2 "SITTING" "tBodyGyroJerk-mean()-Z" -0.04358509665
"TEST" 2 "SITTING" "tBodyGyroJerk-std()-X" -0.989709023043478
"TEST" 2 "SITTING" "tBodyGyroJerk-std()-Y" -0.990889614782609
"TEST" 2 "SITTING" "tBodyGyroJerk-std()-Z" -0.985542325652174
"TEST" 2 "SITTING" "tBodyAccMag-mean()" -0.967893623913043
"TEST" 2 "SITTING" "tBodyAccMag-std()" -0.953081444130435
"TEST" 2 "SITTING" "tGravityAccMag-mean()" -0.967893623913043
"TEST" 2 "SITTING" "tGravityAccMag-std()" -0.953081444130435
"TEST" 2 "SITTING" "tBodyAccJerkMag-mean()" -0.986774713043478
"TEST" 2 "SITTING" "tBodyAccJerkMag-std()" -0.984475868043478
"TEST" 2 "SITTING" "tBodyGyroMag-mean()" -0.946035087173913
"TEST" 2 "SITTING" "tBodyGyroMag-std()" -0.961313624130435
"TEST" 2 "SITTING" "tBodyGyroJerkMag-mean()" -0.991081493913043
"TEST" 2 "SITTING" "tBodyGyroJerkMag-std()" -0.989594919565217
"TEST" 2 "SITTING" "fBodyAcc-mean()-X" -0.985803840652174
"TEST" 2 "SITTING" "fBodyAcc-mean()-Y" -0.957343498478261
"TEST" 2 "SITTING" "fBodyAcc-mean()-Z" -0.970162172608696
"TEST" 2 "SITTING" "fBodyAcc-std()-X" -0.98736209
"TEST" 2 "SITTING" "fBodyAcc-std()-Y" -0.950073754130435
"TEST" 2 "SITTING" "fBodyAcc-std()-Z" -0.956862864130435
"TEST" 2 "SITTING" "fBodyAcc-meanFreq()-X" 0.08519282071
"TEST" 2 "SITTING" "fBodyAcc-meanFreq()-Y" 0.150193956163043
"TEST" 2 "SITTING" "fBodyAcc-meanFreq()-Z" 0.0960646759586957
"TEST" 2 "SITTING" "fBodyAccJerk-mean()-X" -0.987848793695652
"TEST" 2 "SITTING" "fBodyAccJerk-mean()-Y" -0.977139702826087
"TEST" 2 "SITTING" "fBodyAccJerk-mean()-Z" -0.985129050217391
"TEST" 2 "SITTING" "fBodyAccJerk-std()-X" -0.989459107391304
"TEST" 2 "SITTING" "fBodyAccJerk-std()-Y" -0.980804228478261
"TEST" 2 "SITTING" "fBodyAccJerk-std()-Z" -0.988570804130435
"TEST" 2 "SITTING" "fBodyAccJerk-meanFreq()-X" 0.305546818084783
"TEST" 2 "SITTING" "fBodyAccJerk-meanFreq()-Y" 0.0262448647134783
"TEST" 2 "SITTING" "fBodyAccJerk-meanFreq()-Z" 0.0929030630369565
"TEST" 2 "SITTING" "fBodyGyro-mean()-X" -0.982621389565217
"TEST" 2 "SITTING" "fBodyGyro-mean()-Y" -0.982100923695652
"TEST" 2 "SITTING" "fBodyGyro-mean()-Z" -0.959814822391304
"TEST" 2 "SITTING" "fBodyGyro-std()-X" -0.986808501521739
"TEST" 2 "SITTING" "fBodyGyro-std()-Y" -0.977356188695652
"TEST" 2 "SITTING" "fBodyGyro-std()-Z" -0.963522659782609
"TEST" 2 "SITTING" "fBodyGyro-meanFreq()-X" 0.130523120891304
"TEST" 2 "SITTING" "fBodyGyro-meanFreq()-Y" -0.192142737913043
"TEST" 2 "SITTING" "fBodyGyro-meanFreq()-Z" 0.0409472348676087
"TEST" 2 "SITTING" "fBodyAccMag-mean()" -0.96127374826087
"TEST" 2 "SITTING" "fBodyAccMag-std()" -0.955575602173913
"TEST" 2 "SITTING" "fBodyAccMag-meanFreq()" 0.130934202854348
"TEST" 2 "SITTING" "fBodyBodyAccJerkMag-mean()" -0.983874698913043
"TEST" 2 "SITTING" "fBodyBodyAccJerkMag-std()" -0.984124185869565
"TEST" 2 "SITTING" "fBodyBodyAccJerkMag-meanFreq()" 0.280062423956522
"TEST" 2 "SITTING" "fBodyBodyGyroMag-mean()" -0.971840596086956
"TEST" 2 "SITTING" "fBodyBodyGyroMag-std()" -0.961385745217391
"TEST" 2 "SITTING" "fBodyBodyGyroMag-meanFreq()" -0.106358909173913
"TEST" 2 "SITTING" "fBodyBodyGyroJerkMag-mean()" -0.989861950869565
"TEST" 2 "SITTING" "fBodyBodyGyroJerkMag-std()" -0.989632908913043
"TEST" 2 "SITTING" "fBodyBodyGyroJerkMag-meanFreq()" 0.1947221493
"TEST" 2 "STANDING" "tBodyAcc-mean()-X" 0.277911472222222
"TEST" 2 "STANDING" "tBodyAcc-mean()-Y" -0.0184208270166667
"TEST" 2 "STANDING" "tBodyAcc-mean()-Z" -0.105908536055556
"TEST" 2 "STANDING" "tBodyAcc-std()-X" -0.987271889259259
"TEST" 2 "STANDING" "tBodyAcc-std()-Y" -0.957304989259259
"TEST" 2 "STANDING" "tBodyAcc-std()-Z" -0.949741851296296
"TEST" 2 "STANDING" "tGravityAcc-mean()-X" 0.896928566851852
"TEST" 2 "STANDING" "tGravityAcc-mean()-Y" -0.370062696851852
"TEST" 2 "STANDING" "tGravityAcc-mean()-Z" 0.129747161222222
"TEST" 2 "STANDING" "tGravityAcc-std()-X" -0.986685818703704
"TEST" 2 "STANDING" "tGravityAcc-std()-Y" -0.97419442037037
"TEST" 2 "STANDING" "tGravityAcc-std()-Z" -0.945927078703704
"TEST" 2 "STANDING" "tBodyAccJerk-mean()-X" 0.0747588597592593
"TEST" 2 "STANDING" "tBodyAccJerk-mean()-Y" 0.0103291774794444
"TEST" 2 "STANDING" "tBodyAccJerk-mean()-Z" -0.00837158846722222
"TEST" 2 "STANDING" "tBodyAccJerk-std()-X" -0.981085715555556
"TEST" 2 "STANDING" "tBodyAccJerk-std()-Y" -0.97105943962963
"TEST" 2 "STANDING" "tBodyAccJerk-std()-Z" -0.982841446481482
"TEST" 2 "STANDING" "tBodyGyro-mean()-X" -0.0238623875712963
"TEST" 2 "STANDING" "tBodyGyro-mean()-Y" -0.0820396577592593
"TEST" 2 "STANDING" "tBodyGyro-mean()-Z" 0.0878351695481481
"TEST" 2 "STANDING" "tBodyGyro-std()-X" -0.972998629814815
"TEST" 2 "STANDING" "tBodyGyro-std()-Y" -0.971441996481481
"TEST" 2 "STANDING" "tBodyGyro-std()-Z" -0.964856701851852
"TEST" 2 "STANDING" "tBodyGyroJerk-mean()-X" -0.105562157888889
"TEST" 2 "STANDING" "tBodyGyroJerk-mean()-Y" -0.042241953537037
"TEST" 2 "STANDING" "tBodyGyroJerk-mean()-Z" -0.0546539479425926
"TEST" 2 "STANDING" "tBodyGyroJerk-std()-X" -0.979324000740741
"TEST" 2 "STANDING" "tBodyGyroJerk-std()-Y" -0.983447258518519
"TEST" 2 "STANDING" "tBodyGyroJerk-std()-Z" -0.973610118333333
"TEST" 2 "STANDING" "tBodyAccMag-mean()" -0.965875181296296
"TEST" 2 "STANDING" "tBodyAccMag-std()" -0.957874965
"TEST" 2 "STANDING" "tGravityAccMag-mean()" -0.965875181296296
"TEST" 2 "STANDING" "tGravityAccMag-std()" -0.957874965
"TEST" 2 "STANDING" "tBodyAccJerkMag-mean()" -0.980489077407407
"TEST" 2 "STANDING" "tBodyAccJerkMag-std()" -0.976675280185185
"TEST" 2 "STANDING" "tBodyGyroMag-mean()" -0.963466341851852
"TEST" 2 "STANDING" "tBodyGyroMag-std()" -0.95394338037037
"TEST" 2 "STANDING" "tBodyGyroJerkMag-mean()" -0.983951904259259
"TEST" 2 "STANDING" "tBodyGyroJerkMag-std()" -0.977204427777778
"TEST" 2 "STANDING" "fBodyAcc-mean()-X" -0.983946739814815
"TEST" 2 "STANDING" "fBodyAcc-mean()-Y" -0.959871697407407
"TEST" 2 "STANDING" "fBodyAcc-mean()-Z" -0.962471195740741
"TEST" 2 "STANDING" "fBodyAcc-std()-X" -0.989056469814815
"TEST" 2 "STANDING" "fBodyAcc-std()-Y" -0.957908842222222
"TEST" 2 "STANDING" "fBodyAcc-std()-Z" -0.946433583518518
"TEST" 2 "STANDING" "fBodyAcc-meanFreq()-X" 0.108519182924074
"TEST" 2 "STANDING" "fBodyAcc-meanFreq()-Y" 0.0623378066683333
"TEST" 2 "STANDING" "fBodyAcc-meanFreq()-Z" 0.104462499601852
"TEST" 2 "STANDING" "fBodyAccJerk-mean()-X" -0.980973241666667
"TEST" 2 "STANDING" "fBodyAccJerk-mean()-Y" -0.970851337962963
"TEST" 2 "STANDING" "fBodyAccJerk-mean()-Z" -0.979775152037037
"TEST" 2 "STANDING" "fBodyAccJerk-std()-X" -0.983007923703704
"TEST" 2 "STANDING" "fBodyAccJerk-std()-Y" -0.973520241111111
"TEST" 2 "STANDING" "fBodyAccJerk-std()-Z" -0.984599905185185
"TEST" 2 "STANDING" "fBodyAccJerk-meanFreq()-X" 0.331449281481482
"TEST" 2 "STANDING" "fBodyAccJerk-meanFreq()-Y" -0.0569368291814815
"TEST" 2 "STANDING" "fBodyAccJerk-meanFreq()-Z" 0.0396498183462963
"TEST" 2 "STANDING" "fBodyGyro-mean()-X" -0.967037112037037
"TEST" 2 "STANDING" "fBodyGyro-mean()-Y" -0.972576152962963
"TEST" 2 "STANDING" "fBodyGyro-mean()-Z" -0.960627696111111
"TEST" 2 "STANDING" "fBodyGyro-std()-X" -0.97498812462963
"TEST" 2 "STANDING" "fBodyGyro-std()-Y" -0.97103605037037
"TEST" 2 "STANDING" "fBodyGyro-std()-Z" -0.969754295740741
"TEST" 2 "STANDING" "fBodyGyro-meanFreq()-X" -0.107416045074074
"TEST" 2 "STANDING" "fBodyGyro-meanFreq()-Y" -0.171160370096296
"TEST" 2 "STANDING" "fBodyGyro-meanFreq()-Z" 0.000226810610740739
"TEST" 2 "STANDING" "fBodyAccMag-mean()" -0.964052166481482
"TEST" 2 "STANDING" "fBodyAccMag-std()" -0.960519381481482
"TEST" 2 "STANDING" "fBodyAccMag-meanFreq()" 0.119649963903704
"TEST" 2 "STANDING" "fBodyBodyAccJerkMag-mean()" -0.977065295555556
"TEST" 2 "STANDING" "fBodyBodyAccJerkMag-std()" -0.97516046
"TEST" 2 "STANDING" "fBodyBodyAccJerkMag-meanFreq()" 0.304871865218519
"TEST" 2 "STANDING" "fBodyBodyGyroMag-mean()" -0.961775904814815
"TEST" 2 "STANDING" "fBodyBodyGyroMag-std()" -0.956788725740741
"TEST" 2 "STANDING" "fBodyBodyGyroMag-meanFreq()" -0.0661266045796296
"TEST" 2 "STANDING" "fBodyBodyGyroJerkMag-mean()" -0.977849827407407
"TEST" 2 "STANDING" "fBodyBodyGyroJerkMag-std()" -0.977754298148148
"TEST" 2 "STANDING" "fBodyBodyGyroJerkMag-meanFreq()" 0.160662823925926
"TEST" 2 "WALKING" "tBodyAcc-mean()-X" 0.276426586440678
"TEST" 2 "WALKING" "tBodyAcc-mean()-Y" -0.0185949199145763
"TEST" 2 "WALKING" "tBodyAcc-mean()-Z" -0.105500357966102
"TEST" 2 "WALKING" "tBodyAcc-std()-X" -0.423642838474576
"TEST" 2 "WALKING" "tBodyAcc-std()-Y" -0.0780912533118644
"TEST" 2 "WALKING" "tBodyAcc-std()-Z" -0.425257524915254
"TEST" 2 "WALKING" "tGravityAcc-mean()-X" 0.91301733338983
"TEST" 2 "WALKING" "tGravityAcc-mean()-Y" -0.34660709
"TEST" 2 "WALKING" "tGravityAcc-mean()-Z" 0.0847270871186441
"TEST" 2 "WALKING" "tGravityAcc-std()-X" -0.972693201355932
"TEST" 2 "WALKING" "tGravityAcc-std()-Y" -0.972116879661017
"TEST" 2 "WALKING" "tGravityAcc-std()-Z" -0.972072847627119
"TEST" 2 "WALKING" "tBodyAccJerk-mean()-X" 0.0618080696279661
"TEST" 2 "WALKING" "tBodyAccJerk-mean()-Y" 0.0182492679288136
"TEST" 2 "WALKING" "tBodyAccJerk-mean()-Z" 0.00789533706610169
"TEST" 2 "WALKING" "tBodyAccJerk-std()-X" -0.277530462620339
"TEST" 2 "WALKING" "tBodyAccJerk-std()-Y" -0.0166022362847458
"TEST" 2 "WALKING" "tBodyAccJerk-std()-Z" -0.586090418983051
"TEST" 2 "WALKING" "tBodyGyro-mean()-X" -0.0530258157347458
"TEST" 2 "WALKING" "tBodyGyro-mean()-Y" -0.0482382316949153
"TEST" 2 "WALKING" "tBodyGyro-mean()-Z" 0.0828336633220339
"TEST" 2 "WALKING" "tBodyGyro-std()-X" -0.561550255762712
"TEST" 2 "WALKING" "tBodyGyro-std()-Y" -0.53845366779661
"TEST" 2 "WALKING" "tBodyGyro-std()-Z" -0.481085535084746
"TEST" 2 "WALKING" "tBodyGyroJerk-mean()-X" -0.0818833429152542
"TEST" 2 "WALKING" "tBodyGyroJerk-mean()-Y" -0.0538299449067797
"TEST" 2 "WALKING" "tBodyGyroJerk-mean()-Z" -0.0514939156830508
"TEST" 2 "WALKING" "tBodyGyroJerk-std()-X" -0.389549831525424
"TEST" 2 "WALKING" "tBodyGyroJerk-std()-Y" -0.634140436101695
"TEST" 2 "WALKING" "tBodyGyroJerk-std()-Z" -0.435492677288136
"TEST" 2 "WALKING" "tBodyAccMag-mean()" -0.290407593728814
"TEST" 2 "WALKING" "tBodyAccMag-std()" -0.422544169322034
"TEST" 2 "WALKING" "tGravityAccMag-mean()" -0.290407593728814
"TEST" 2 "WALKING" "tGravityAccMag-std()" -0.422544169322034
"TEST" 2 "WALKING" "tBodyAccJerkMag-mean()" -0.281424153881356
"TEST" 2 "WALKING" "tBodyAccJerkMag-std()" -0.164150985127119
"TEST" 2 "WALKING" "tBodyGyroMag-mean()" -0.446549092881356
"TEST" 2 "WALKING" "tBodyGyroMag-std()" -0.553019916271186
"TEST" 2 "WALKING" "tBodyGyroJerkMag-mean()" -0.547911950338983
"TEST" 2 "WALKING" "tBodyGyroJerkMag-std()" -0.557798151355932
"TEST" 2 "WALKING" "fBodyAcc-mean()-X" -0.346048161016949
"TEST" 2 "WALKING" "fBodyAcc-mean()-Y" -0.0219048103322034
"TEST" 2 "WALKING" "fBodyAcc-mean()-Z" -0.453806369830508
"TEST" 2 "WALKING" "fBodyAcc-std()-X" -0.457651383728814
"TEST" 2 "WALKING" "fBodyAcc-std()-Y" -0.16921968620339
"TEST" 2 "WALKING" "fBodyAcc-std()-Z" -0.455222146440678
"TEST" 2 "WALKING" "fBodyAcc-meanFreq()-X" -0.14579548970339
"TEST" 2 "WALKING" "fBodyAcc-meanFreq()-Y" 0.198586466508475
"TEST" 2 "WALKING" "fBodyAcc-meanFreq()-Z" 0.0688995208186441
"TEST" 2 "WALKING" "fBodyAccJerk-mean()-X" -0.304615322881356
"TEST" 2 "WALKING" "fBodyAccJerk-mean()-Y" -0.0787640836610169
"TEST" 2 "WALKING" "fBodyAccJerk-mean()-Z" -0.554956709661017
"TEST" 2 "WALKING" "fBodyAccJerk-std()-X" -0.31431306340678
"TEST" 2 "WALKING" "fBodyAccJerk-std()-Y" -0.0153329520084746
"TEST" 2 "WALKING" "fBodyAccJerk-std()-Z" -0.615898188474576
"TEST" 2 "WALKING" "fBodyAccJerk-meanFreq()-X" -0.0727101584479661
"TEST" 2 "WALKING" "fBodyAccJerk-meanFreq()-Y" -0.263574018186441
"TEST" 2 "WALKING" "fBodyAccJerk-meanFreq()-Z" -0.254846438755932
"TEST" 2 "WALKING" "fBodyGyro-mean()-X" -0.429713536101695
"TEST" 2 "WALKING" "fBodyGyro-mean()-Y" -0.55477211220339
"TEST" 2 "WALKING" "fBodyGyro-mean()-Z" -0.396659907457627
"TEST" 2 "WALKING" "fBodyGyro-std()-X" -0.604053019152542
"TEST" 2 "WALKING" "fBodyGyro-std()-Y" -0.533046952542373
"TEST" 2 "WALKING" "fBodyGyro-std()-Z" -0.559856635084746
"TEST" 2 "WALKING" "fBodyGyro-meanFreq()-X" 0.00727967988474576
"TEST" 2 "WALKING" "fBodyGyro-meanFreq()-Y" -0.0427009322372881
"TEST" 2 "WALKING" "fBodyGyro-meanFreq()-Z" 0.139752115269492
"TEST" 2 "WALKING" "fBodyAccMag-mean()" -0.324289427932203
"TEST" 2 "WALKING" "fBodyAccMag-std()" -0.577105211694915
"TEST" 2 "WALKING" "fBodyAccMag-meanFreq()" 0.393206208305085
"TEST" 2 "WALKING" "fBodyBodyAccJerkMag-mean()" -0.169064352813559
"TEST" 2 "WALKING" "fBodyBodyAccJerkMag-std()" -0.164091969449153
"TEST" 2 "WALKING" "fBodyBodyAccJerkMag-meanFreq()" 0.20750092670339
"TEST" 2 "WALKING" "fBodyBodyGyroMag-mean()" -0.530704814745763
"TEST" 2 "WALKING" "fBodyBodyGyroMag-std()" -0.651792839661017
"TEST" 2 "WALKING" "fBodyBodyGyroMag-meanFreq()" 0.305283825254237
"TEST" 2 "WALKING" "fBodyBodyGyroJerkMag-mean()" -0.583249293389831
"TEST" 2 "WALKING" "fBodyBodyGyroJerkMag-std()" -0.558104554745763
"TEST" 2 "WALKING" "fBodyBodyGyroJerkMag-meanFreq()" 0.126344614439492
"TEST" 2 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.27761534806383
"TEST" 2 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.0226614158361702
"TEST" 2 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Z" -0.116812942382979
"TEST" 2 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-X" 0.0463666814446808
"TEST" 2 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-Y" 0.262881788951064
"TEST" 2 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-Z" -0.10283790806383
"TEST" 2 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-X" 0.861831345531915
"TEST" 2 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-Y" -0.325780100638298
"TEST" 2 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-Z" -0.0438890162723404
"TEST" 2 "WALKING_DOWNSTAIRS" "tGravityAcc-std()-X" -0.940361759574468
"TEST" 2 "WALKING_DOWNSTAIRS" "tGravityAcc-std()-Y" -0.940068525531915
"TEST" 2 "WALKING_DOWNSTAIRS" "tGravityAcc-std()-Z" -0.931438313191489
"TEST" 2 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean()-X" 0.110040615569574
"TEST" 2 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean()-Y" -0.00327959081489362
"TEST" 2 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean()-Z" -0.0209351677765957
"TEST" 2 "WALKING_DOWNSTAIRS" "tBodyAccJerk-std()-X" 0.147249143238298
"TEST" 2 "WALKING_DOWNSTAIRS" "tBodyAccJerk-std()-Y" 0.126828014557447
"TEST" 2 "WALKING_DOWNSTAIRS" "tBodyAccJerk-std()-Z" -0.340122023191489
"TEST" 2 "WALKING_DOWNSTAIRS" "tBodyGyro-mean()-X" -0.11594735287234
"TEST" 2 "WALKING_DOWNSTAIRS" "tBodyGyro-mean()-Y" -0.00482329231914894
"TEST" 2 "WALKING_DOWNSTAIRS" "tBodyGyro-mean()-Z" 0.097173808906383
"TEST" 2 "WALKING_DOWNSTAIRS" "tBodyGyro-std()-X" -0.320789230008511
"TEST" 2 "WALKING_DOWNSTAIRS" "tBodyGyro-std()-Y" -0.415739144893617
"TEST" 2 "WALKING_DOWNSTAIRS" "tBodyGyro-std()-Z" -0.279418388042553
"TEST" 2 "WALKING_DOWNSTAIRS" "tBodyGyroJerk-mean()-X" -0.0581038498510638
"TEST" 2 "WALKING_DOWNSTAIRS" "tBodyGyroJerk-mean()-Y" -0.0421470257531915
"TEST" 2 "WALKING_DOWNSTAIRS" "tBodyGyroJerk-mean()-Z" -0.0710229816893617
